Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Sagesser, Mlle. Emma",0,1,0,0,1,0,1,0,0,0,1,0,1,0.9386907939405056
"Eustis, Miss. Elizabeth Mussey",1,1,0,0,1,0,0,0,1,0,1,0,1,0.8475260335714018
"Taussig, Mr. Emil",1,0,0,0,0,0,0,0,1,0,0,0,0,0.27649550912354115
"Ryerson, Miss. Emily Borie",2,1,0,0,1,0,0,0,0,0,1,0,1,0.9372653748980464
"Sharp, Mr. Percival James R",0,0,1,0,0,0,1,0,0,0,0,0,0,0.2310606725465465
"Thayer, Mr. John Borland Jr",0,0,0,0,1,0,0,0,0,0,0,0,1,0.7185905940828136
"Abbott, Mrs. Stanton (Rosa Hunt)",1,1,0,1,0,0,0,1,0,1,0,0,1,0.6432028213842529
"Graham, Mrs. William Thompson (Edith Junkins)",0,1,0,0,0,0,0,0,1,1,0,0,1,0.9338171626826953
"Porter, Mr. Walter Chamberlain",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193417306
"Ohman, Miss. Velin",0,1,0,1,0,0,1,0,0,0,1,0,1,0.5062806579296909
"Crease, Mr. Ernest James",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073565399
"Bateman, Rev. Robert James",0,0,1,0,0,0,0,0,1,0,0,1,0,0.15108019799551548
"Barton, Mr. David John",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Mallet, Mr. Albert",1,0,1,0,1,0,0,1,0,0,0,0,0,0.2206076083254592
"Bourke, Mrs. John (Catherine)",1,1,0,1,0,1,0,1,0,1,0,0,0,0.6096709981762896
"Gronnestad, Mr. Daniel Danielsen",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08284178901384266
"Ilett, Miss. Bertha",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8544576925222084
"Lang, Mr. Fang",0,0,0,1,0,0,1,0,0,0,0,0,1,0.08654422116454598
"Newell, Miss. Marjorie",1,1,0,0,1,0,1,0,0,0,1,0,1,0.9184139761736085
"Silven, Miss. Lyyli Karoliina",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8544576925222084
"Gilinski, Mr. Eliezer",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Parrish, Mrs. (Lutie Davis)",0,1,1,0,0,0,0,0,1,1,0,0,1,0.8011044440879673
"Madill, Miss. Georgette Alexandra",0,1,0,0,0,0,0,0,0,0,1,0,1,0.9536311105447245
"Hickman, Mr. Leonard Mark",2,0,1,0,0,0,1,0,0,0,0,0,0,0.13973851909440788
"Mionoff, Mr. Stoytcho",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Boulos, Miss. Nourelain",1,1,0,1,1,0,0,0,0,0,1,0,0,0.646507621811356
"Ford, Mr. William Neal",1,0,0,1,0,0,0,0,0,0,0,0,0,0.11169762060263916
"Najib, Miss. Adele Kiamie ""Jane""",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7132638413017208
"Adahl, Mr. Mauritz Nils Martin",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08284178901384266
"Dodge, Master. Washington",0,0,0,0,0,0,0,0,0,0,0,0,1,0.6551929445180079
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,1,1,0,0,0,0,1,0,1,0,0,1,0.8511361945704996
"Bourke, Mr. John",1,0,0,1,0,1,0,0,1,0,0,0,0,0.028939789917064966
"Vanden Steen, Mr. Leo Peter",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Pasic, Mr. Jakob",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Minahan, Dr. William Edward",2,0,0,0,0,1,0,0,1,0,0,1,0,0.22600632225992665
"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0,1,0,0,0,0,1,0,0,0,0,0,0.2226828909181303
"Panula, Master. Eino Viljami",4,0,0,1,0,0,0,0,0,0,0,0,0,0.04759718996821087
"Allison, Miss. Helen Loraine",1,1,0,0,0,0,0,0,0,0,1,0,0,0.9379689816756058
"Lurette, Miss. Elise",0,1,0,0,1,0,0,0,1,0,1,0,1,0.883179875452213
"Barah, Mr. Hanna Assi",0,0,0,1,1,0,0,0,0,0,0,0,1,0.1868796204760835
"Cardeza, Mr. Thomas Drake Martinez",0,0,0,0,1,0,0,1,0,0,0,0,1,0.5742187759421644
"Asplund, Master. Edvin Rojj Felix",4,0,0,1,0,0,0,0,0,0,0,0,1,0.04759718996821087
"Abbing, Mr. Anthony",0,0,0,1,0,0,0,0,1,0,0,0,0,0.044691882417793635
"Coxon, Mr. Daniel",0,0,0,1,0,0,0,0,1,0,0,0,0,0.044691882417793635
"Goldsmith, Mr. Frank John",1,0,0,1,0,0,0,1,0,0,0,0,0,0.06227403438902163
"Sundman, Mr. Johan Julian",0,0,0,1,0,0,0,0,1,0,0,0,1,0.044691882417793635
"Oreskovic, Mr. Luka",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073565399
"Ford, Mrs. Edward (Margaret Ann Watson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4828562046316746
"Hood, Mr. Ambrose Jr",0,0,1,0,0,0,1,0,0,0,0,0,0,0.2310606725465465
"Hassan, Mr. Houssein G N",0,0,0,1,1,0,0,0,0,0,0,0,0,0.1868796204760835
"Gale, Mr. Shadrach",1,0,1,0,0,0,0,1,0,0,0,0,0,0.17398188947850643
"Stranden, Mr. Juho",0,0,0,1,0,0,0,1,0,0,0,0,1,0.08284178901384266
"Petranec, Miss. Matilda",0,1,0,1,0,0,1,0,0,0,1,0,0,0.5062806579296909
"Danoff, Mr. Yoto",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Cook, Mr. Jacob",0,0,0,1,0,0,0,0,1,0,0,0,0,0.044691882417793635
"Bonnell, Miss. Elizabeth",0,1,0,0,0,0,0,0,1,0,1,0,1,0.8490740497539472
"Goldenberg, Mr. Samuel L",1,0,0,0,1,0,0,0,1,0,0,0,1,0.33930885182530435
"Mallet, Master. Andre",0,0,1,0,1,0,0,0,0,0,0,0,1,0.4216102151453355
"Petterson, Mr. Johan Emil",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06512250549838765
"Van der hoef, Mr. Wyckoff",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193417306
"Becker, Master. Richard F",2,0,1,0,0,0,0,0,0,0,0,0,1,0.2267358669515372
"Widener, Mr. Harry Elkins",0,0,0,0,1,0,1,0,0,0,0,0,0,0.5858541621164306
"Sivic, Mr. Husein",0,0,0,1,0,0,0,0,1,0,0,0,0,0.044691882417793635
"Leader, Dr. Alice (Farnham)",0,1,0,0,0,0,0,0,1,0,0,1,1,0.9055177766186153
"McNamee, Mr. Neal",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06512250549838765
"Balkic, Mr. Cerin",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Svensson, Mr. Olof",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Rice, Master. Arthur",4,0,0,1,0,1,0,0,0,0,0,0,0,0.04150392507796952
"Quick, Miss. Phyllis May",1,1,1,0,0,0,0,0,0,0,1,0,1,0.8119047161690712
"Charters, Mr. David",0,0,0,1,0,1,1,0,0,0,0,0,0,0.0758622054651786
"Hirvonen, Miss. Hildur E",0,1,0,1,0,0,0,0,0,0,1,0,1,0.6492518960662526
"Carter, Mr. William Ernest",1,0,0,0,0,0,0,1,0,0,0,0,1,0.4245756694526081
"Kirkland, Rev. Charles Leonard",0,0,1,0,0,1,0,0,1,0,0,1,0,0.1335976153377908
"Coleff, Mr. Satio",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Silvey, Mr. William Baird",1,0,0,0,0,0,0,0,1,0,0,0,0,0.27649550912354115
"Partner, Mr. Austen",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193417306
"White, Mr. Richard Frasar",0,0,0,0,0,0,1,0,0,0,0,0,0,0.5128262500460905
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4828562046316746
"Beckwith, Mr. Richard Leonard",1,0,0,0,0,0,0,1,0,0,0,0,1,0.4245756694526081
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1,1,1,0,0,0,0,1,0,1,0,0,1,0.8511361945704996
"Daly, Mr. Eugene Patrick",0,0,0,1,0,1,0,1,0,0,0,0,1,0.0725804479532504
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,1,0,0,0,0,0,1,0,1,0,0,1,0.9524469429823924
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,1,0,0,1,0,0,0,1,1,0,0,1,0.9330698229785316
"Dorking, Mr. Edward Arthur",0,0,0,1,0,0,0,0,0,0,0,0,1,0.14604659073565399
"Chronopoulos, Mr. Apostolos",1,0,0,1,1,0,1,0,0,0,0,0,0,0.08559796332802391
"Levy, Mr. Rene Jacques",0,0,1,0,1,0,0,1,0,0,0,0,0,0.27796805452841966
"Richards, Master. William Rowe",1,0,1,0,0,0,0,0,0,0,0,0,1,0.2851068470090604
"Hippach, Miss. Jean Gertrude",0,1,0,0,1,0,0,0,0,0,1,0,1,0.9650811241000519
"Kantor, Mr. Sinai",1,0,1,0,0,0,0,1,0,0,0,0,0,0.17398188947850643
"Heikkinen, Miss. Laina",0,1,0,1,0,0,1,0,0,0,1,0,1,0.5062806579296909
"Dennis, Mr. Samuel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Drazenoic, Mr. Jozef",0,0,0,1,1,0,0,1,0,0,0,0,0,0.10824339296306416
"Osen, Mr. Olaf Elon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073565399
"Rice, Mrs. William (Margaret Norton)",0,1,0,1,0,1,0,0,1,1,0,0,0,0.5238819759247514
"White, Mr. Percival Wayland",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193417306
"Clarke, Mrs. Charles V (Ada Maria Winfield)",1,1,1,0,0,0,1,0,0,1,0,0,1,0.8570875940379777
"LeRoy, Miss. Bertha",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9358834374455648
"Lemberopolous, Mr. Peter L",0,0,0,1,1,0,0,1,0,0,0,0,0,0.10824339296306416
"Bazzani, Miss. Albina",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9358834374455648
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",1,1,1,0,0,0,0,0,1,1,0,0,0,0.747560880971972
"Andrews, Miss. Kornelia Theodosia",1,1,0,0,0,0,0,0,1,0,1,0,1,0.8053056864691535
"Montvila, Rev. Juozas",0,0,1,0,0,0,1,0,0,0,0,1,0,0.26493170716764375
"Endres, Miss. Caroline Louise",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9358834374455648
"Newell, Mr. Arthur Webster",0,0,0,0,1,0,0,0,1,0,0,0,0,0.41124769235191105
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4828562046316746
"Connors, Mr. Patrick",0,0,0,1,0,1,0,0,1,0,0,0,0,0.038955334496643915
"Moor, Master. Meier",0,0,0,1,0,0,0,0,0,0,0,0,1,0.14604659073565399
"McKane, Mr. Peter David",0,0,1,0,0,0,0,0,1,0,0,0,0,0.12920634689065538
"Hakkarainen, Mr. Pekka Pietari",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06512250549838765
"Waelens, Mr. Achille",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Nakid, Mr. Sahid",1,0,0,1,1,0,0,0,0,0,0,0,1,0.1445526997249269
"Nicola-Yarred, Miss. Jamila",1,1,0,1,1,0,0,0,0,0,1,0,1,0.646507621811356
"Andreasson, Mr. Paul Edvin",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073565399
"Mellors, Mr. William John",0,0,1,0,0,0,0,0,0,0,0,0,1,0.35167076470238795
"Lesurer, Mr. Gustave J",0,0,0,0,1,0,0,1,0,0,0,0,1,0.5742187759421644
"Goodwin, Master. William Frederick",5,0,0,1,0,0,0,0,0,0,0,0,0,0.03544173405805825
"Johnson, Mr. Malkolm Joackim",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08284178901384266
"Chaffee, Mr. Herbert Fuller",1,0,0,0,0,0,0,0,1,0,0,0,0,0.27649550912354115
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",2,1,0,0,0,0,0,0,1,1,0,0,1,0.884088253151148
"Strandberg, Miss. Ida Sofia",0,1,0,1,0,0,1,0,0,0,1,0,0,0.5062806579296909
"Albimona, Mr. Nassef Cassem",0,0,0,1,1,0,1,0,0,0,0,0,1,0.11294129408056457
"Karun, Miss. Manca",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7132638413017208
"Hogeboom, Mrs. John C (Anna Andrews)",1,1,0,0,0,0,0,0,1,1,0,0,1,0.912079458299145
"Carr, Miss. Helen ""Ellen""",0,1,0,1,0,1,0,0,0,0,1,0,1,0.6159491233529579
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,1,0,1,0,0,0,0,1,1,0,0,0,0.559458271771873
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.747560880971972
"Wilhelms, Mr. Charles",0,0,1,0,0,0,0,1,0,0,0,0,1,0.2226828909181303
"Moor, Mrs. (Beila)",0,1,0,1,0,0,1,0,0,1,0,0,1,0.720033212423653
"Panula, Mr. Ernesti Arvid",4,0,0,1,0,0,0,0,0,0,0,0,0,0.04759718996821087
"Ayoub, Miss. Banoura",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7132638413017208
"Hocking, Mrs. Elizabeth (Eliza Needs)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.747560880971972
"Walker, Mr. William Anderson",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193417306
"Palsson, Master. Gosta Leonard",3,0,0,1,0,0,0,0,0,0,0,0,0,0.06364651479151277
"Gaskell, Mr. Alfred",0,0,1,0,0,0,0,0,0,0,0,0,0,0.35167076470238795
"Gustafsson, Mr. Karl Gideon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073565399
"Vande Walle, Mr. Nestor Cyriel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Hunt, Mr. George Henry",0,0,1,0,0,0,0,1,0,0,0,0,0,0.2226828909181303
"Goldsmith, Master. Frank John William ""Frankie""",0,0,0,1,0,0,0,0,0,0,0,0,1,0.14604659073565399
"Barbara, Mrs. (Catherine David)",0,1,0,1,1,0,0,0,1,1,0,0,0,0.6305321053175188
"Rugg, Miss. Emily",0,1,1,0,0,0,1,0,0,0,1,0,1,0.7648348091956078
"Futrelle, Mr. Jacques Heath",1,0,0,0,0,0,0,1,0,0,0,0,0,0.4245756694526081
"Doling, Miss. Elsie",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8544576925222084
"Bing, Mr. Lee",0,0,0,1,0,0,0,1,0,0,0,0,1,0.08284178901384266
